farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,failure_classification
Wind Farm B,19.csv,19,turb_19,anomaly_event,,CARE_PAPER_IF,care_common,56274,52529,3745,2881,187,0.2155,,0.0527,11,False,18,False,0.88,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,CARE_PAPER_IF,care_native_semantic,56564,52531,4033,3169,542,0.2379,,0.1005,3,False,197,True,-1.37,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,7.csv,7,turb_7,anomaly_event,,CARE_PAPER_IF,care_native_semantic,57888,52559,5329,4465,115,0.0826,,0.024,4,False,133,False,0.08,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,53.csv,53,turb_53,anomaly_event,,CARE_PAPER_IF,care_native_semantic,58607,52559,6048,6048,983,0.4966,,0.1767,6,False,48,True,-0.33,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,27.csv,27,turb_27,anomaly_event,,CARE_PAPER_IF,care_native_semantic,62268,52331,9937,8785,1644,0.5304,,0.206,5,False,73,False,1.49,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,CARE_PAPER_IF,care_native_semantic,56274,52529,3745,2881,332,0.235,,0.0786,1,False,1,False,0.99,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,77.csv,77,turb_77,anomaly_event,,CARE_PAPER_IF,care_native_semantic,61776,52559,9217,8641,771,0.2908,,0.0676,8,False,245,False,1.3,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,RAI_COMPAT_IF,care_2d,56564,52531,4033,3169,187,0.1194,,0.044,22,False,1,True,-0.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,7.csv,7,turb_7,anomaly_event,,RAI_COMPAT_IF,care_2d,57888,52559,5329,4465,326,0.158,,0.0503,32,False,33,False,0.77,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,53.csv,53,turb_53,anomaly_event,,RAI_COMPAT_IF,care_2d,58607,52559,6048,6048,1189,0.5188,,0.1958,32,False,20,True,-0.14,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,27.csv,27,turb_27,anomaly_event,,RAI_COMPAT_IF,care_2d,62268,52331,9937,8785,965,0.305,,0.0943,35,False,112,False,1.22,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,RAI_COMPAT_IF,care_2d,56274,52529,3745,2881,180,0.2303,,0.057,4,False,38,False,0.74,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,77.csv,77,turb_77,anomaly_event,,RAI_COMPAT_IF,care_2d,61776,52559,9217,8641,694,0.2899,,0.083,8,False,91,False,2.37,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,RAI_COMPAT_IF,care_common,56564,52531,4033,3169,102,0.0905,,0.0229,12,False,25,True,-0.17,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,RAI_COMPAT_IF,care_common,56274,52529,3745,2881,140,0.1463,,0.0419,35,False,18,False,0.88,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,56564,52531,4033,3169,254,0.1798,,0.0564,22,False,25,True,-0.17,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,7.csv,7,turb_7,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,57888,52559,5329,4465,148,0.0803,,0.0248,11,False,98,False,0.32,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,RAI_COMPAT_IF,care_native_semantic,56274,52529,3745,2881,299,0.1343,,0.0463,9,False,18,False,0.88,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,RAI_CHAMPION,care_2d,56564,52531,4033,3169,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,7.csv,7,turb_7,anomaly_event,,RAI_CHAMPION,care_2d,57888,52559,5329,4465,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,53.csv,53,turb_53,anomaly_event,,RAI_CHAMPION,care_2d,58607,52559,6048,6048,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,27.csv,27,turb_27,anomaly_event,,RAI_CHAMPION,care_2d,62268,52331,9937,8785,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,RAI_CHAMPION,care_2d,56274,52529,3745,2881,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,77.csv,77,turb_77,anomaly_event,,RAI_CHAMPION,care_2d,61776,52559,9217,8641,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,RAI_CHAMPION,care_common,56564,52531,4033,3169,19,0.0016,,0.0008,17,False,206,True,-1.43,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,RAI_CHAMPION,care_common,56274,52529,3745,2881,21,0.0,,0.0018,11,False,19,False,0.87,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,34.csv,34,turb_34,anomaly_event,,RAI_CHAMPION,care_native_semantic,56564,52531,4033,3169,19,0.0016,,0.0008,17,False,206,True,-1.43,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,19.csv,19,turb_19,anomaly_event,,RAI_CHAMPION,care_native_semantic,56274,52529,3745,2881,21,0.0,,0.0018,11,False,19,False,0.87,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,55.csv,55,turb_55,anomaly_event,,CARE_PAPER_IF,care_2d,55753,52560,3193,2473,303,0.2994,,0.1204,10,False,43,False,1.7,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,81.csv,81,turb_81,anomaly_event,,CARE_PAPER_IF,care_2d,53932,52560,1372,364,142,0.523,,0.2855,8,False,258,True,-0.79,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,47.csv,47,turb_47,anomaly_event,,CARE_PAPER_IF,care_2d,53993,52416,1577,713,432,0.0735,,0.0248,10,False,531,True,-3.69,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,12.csv,12,turb_12,anomaly_event,,CARE_PAPER_IF,care_2d,56107,52560,3547,3259,289,0.2874,,0.0596,3,False,164,True,-1.14,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,4.csv,4,turb_4,anomaly_event,,CARE_PAPER_IF,care_2d,56449,52560,3889,2737,215,0.2962,,0.0699,1,False,470,True,-0.26,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,28.csv,28,turb_28,anomaly_event,,CARE_PAPER_IF,care_2d,55918,52560,3358,2926,300,0.2729,,0.0472,36,False,7,False,0.95,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,39.csv,39,turb_39,anomaly_event,,CARE_PAPER_IF,care_2d,53727,52560,1167,735,93,0.0,,0.0249,8,False,0,False,2.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,66.csv,66,turb_66,anomaly_event,,CARE_PAPER_IF,care_2d,53503,51696,1807,943,263,0.0946,,0.1698,52,False,0,True,0.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,15.csv,15,turb_15,anomaly_event,,CARE_PAPER_IF,care_2d,54433,51696,2737,2449,313,0.4169,,0.1085,2,False,177,False,0.77,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,78.csv,78,turb_78,anomaly_event,,CARE_PAPER_IF,care_2d,53146,52560,586,298,37,0.4397,,0.1076,0,False,168,True,-1.17,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,79.csv,79,turb_79,anomaly_event,,CARE_PAPER_IF,care_2d,53281,52560,721,289,22,0.0,,0.0,0,False,62,False,0.57,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm C,44.csv,44,turb_44,anomaly_event,,CARE_PAPER_IF,care_2d,63003,52560,10443,9435,624,0.2502,,0.0697,19,False,231,True,-0.6,not detected under the official CARE event criterion (max criticality < 72)
